,DEIT + CLIP,,,,CNN,,,,,,,,
,TRUE POSITIVE,FALSE POSITIVE,FALSE NEGATIVE,TRUE NEGATIVE,TRUE POSITIVE,FALSE POSITIVE,FALSE NEGATIVE,TRUE NEGATIVE,,,,,
1,5,0,1,8152,4,1,1,8152,,,DEIT + CLIP,CNN,DIFFERENCE
2,4,1,2,8151,1,4,3,8150,,PRECISION,81.7,59.125,38.18181818
3,5,0,1,8152,3,2,2,8151,,RECALL,86.47790421,65.13357202,32.7700931
4,5,0,1,8152,2,3,2,8151,,F1-SCORE,84.0210824,61.98401258,35.55282871
5,3,2,2,8151,3,2,2,8151,,ACCURACY,93.23334086,82.55425299,12.93584217
6,3,2,3,8150,2,3,2,8151,,,,,
7,2,3,4,8149,2,3,3,8150,,,,,
8,4,1,2,8151,2,3,4,8149,,PRECISION,TP/TP+FP,,
9,4,1,2,8151,3,2,2,8151,,RECALL,TP/TP+FN,,
10,5,0,1,8152,4,1,1,8152,,F1-SCORE,2*((P*R)/(P+R)),,
11,3,2,3,8150,5,0,0,8153,,ACCURACY,((TP/TP + FN) +,,
12,4,1,2,8151,3,2,2,8151,,,(TN/TN + FP))/2,,
13,4,1,2,8151,4,1,1,8152,,,,,
14,3,2,3,8150,2,3,3,8150,,,,,
15,5,0,1,8152,2,3,3,8150,,Total,DEIT+CLIP,CNN,
16,3,2,2,8151,5,0,0,8153,,TP,3268,2365,
17,3,2,3,8150,2,3,3,8150,,FP,732,1635,
18,4,1,2,8151,3,2,2,8151,,FN,511,1266,
19,3,2,2,8151,5,0,0,8153,,TN,6521889,6521134,
20,3,2,3,8150,5,0,2,8151,,,,,
21,2,3,4,8149,2,3,3,8150,,,,,
22,5,0,1,8152,4,1,2,8151,,,,,
23,4,1,2,8151,2,3,4,8149,,,,,
24,5,0,1,8152,2,3,1,8152,,,,,
25,5,0,1,8152,3,2,2,8151,,,,,
26,4,1,2,8151,3,2,2,8151,,,,,
27,3,2,2,8151,5,0,0,8153,,,,,
28,5,0,1,8152,3,2,1,8152,,,,,
29,5,0,1,8152,5,0,0,8153,,,,,
30,3,2,2,8151,1,4,3,8150,,,,,
31,5,0,1,8152,1,4,4,8149,,,,,
32,4,1,2,8151,1,4,4,8149,,,,,
33,3,2,2,8151,5,0,0,8153,,,,,
34,3,2,1,8152,1,4,3,8150,,,,,
35,3,2,2,8151,1,4,1,8152,,,,,
36,5,0,0,8153,4,1,1,8152,,,,,
37,5,0,0,8153,3,2,2,8151,,,,,
38,5,0,0,8153,2,3,2,8151,,,,,
39,4,1,1,8152,3,2,2,8151,,,,,
40,5,0,0,8153,1,4,2,8151,,,,,
41,5,0,0,8153,1,4,5,8148,,,,,
42,2,3,1,8152,5,0,1,8152,,,,,
43,5,0,0,8153,4,1,1,8152,,,,,
44,2,3,3,8150,2,3,2,8151,,,,,
45,5,0,0,8153,1,4,2,8151,,,,,
46,5,0,0,8153,1,4,3,8150,,,,,
47,4,1,1,8152,3,2,3,8150,,,,,
48,5,0,0,8153,2,3,2,8151,,,,,
49,5,0,0,8153,5,0,0,8153,,,,,
50,5,0,0,8153,1,4,1,8152,,,,,
51,4,1,1,8152,2,3,3,8150,,,,,
52,5,0,0,8153,3,2,2,8151,,,,,
53,5,0,0,8153,4,1,1,8152,,,,,
54,4,1,1,8152,1,4,5,8148,,,,,
55,3,2,2,8151,1,4,4,8149,,,,,
56,3,2,2,8151,2,3,1,8152,,,,,
57,3,2,2,8151,5,0,1,8152,,,,,
58,5,0,0,8153,3,2,2,8151,,,,,
59,5,0,0,8153,2,3,3,8150,,,,,
60,4,1,1,8152,3,2,2,8151,,,,,
61,2,3,3,8150,3,2,1,8152,,,,,
62,5,0,0,8153,4,1,1,8152,,,,,
63,4,1,1,8152,2,3,2,8151,,,,,
64,5,0,0,8153,5,0,0,8153,,,,,
65,4,1,1,8152,4,1,1,8152,,,,,
66,5,0,0,8153,4,1,2,8151,,,,,
67,3,2,2,8151,1,4,5,8148,,,,,
68,5,0,0,8153,1,4,4,8149,,,,,
69,5,0,0,8153,4,1,1,8152,,,,,
70,3,2,1,8152,4,1,1,8152,,,,,
71,2,3,3,8150,4,1,1,8152,,,,,
72,5,0,0,8153,1,4,4,8149,,,,,
73,5,0,0,8153,1,4,2,8151,,,,,
74,5,0,0,8153,3,2,2,8151,,,,,
75,4,1,1,8152,5,0,0,8153,,,,,
76,3,2,2,8151,2,3,3,8150,,,,,
77,5,0,0,8153,2,3,4,8149,,,,,
78,4,1,1,8152,2,3,4,8149,,,,,
79,5,0,0,8153,2,3,2,8151,,,,,
80,2,3,3,8150,3,2,2,8151,,,,,
81,3,2,2,8151,4,1,2,8151,,,,,
82,5,0,0,8153,3,2,2,8151,,,,,
83,5,0,0,8153,2,3,3,8150,,,,,
84,5,0,0,8153,5,0,0,8153,,,,,
85,3,2,2,8151,4,1,1,8152,,,,,
86,2,3,3,8150,5,0,0,8153,,,,,
87,5,0,0,8153,2,3,1,8152,,,,,
88,3,2,2,8151,3,2,2,8151,,,,,
89,5,0,0,8153,1,4,1,8152,,,,,
90,3,2,2,8151,5,0,1,8152,,,,,
91,2,3,1,8152,2,3,3,8150,,,,,
92,5,0,0,8153,5,0,0,8153,,,,,
93,3,2,2,8151,3,2,2,8151,,,,,
94,5,0,0,8153,1,4,3,8150,,,,,
95,4,1,1,8152,3,2,2,8151,,,,,
96,4,1,1,8152,1,4,1,8152,,,,,
97,4,1,1,8152,5,0,0,8153,,,,,
98,2,3,2,8151,1,4,2,8151,,,,,
