ID,Fraud,Title,Description,Architectural Style,Property Types,Interior/Exterior,Feature
b1,AI,Classic Blue Facade House,"A classic house with a blue facade, featuring a gabled roof, white trim, and large windows.",,House,,
b2,AI,Traditional Large White Clapboard House,"A large white clapboard house with a brown roof, showcasing traditional architectural style.",,,,
b3,AI,Classic White House with Brown Roof,"A classic white house with a brown roof, featuring a large porch with white columns and a balcony on the second floor.",,,,
b4,AI,Large White Victorian with Dark Gray Roof,A large white Victorian house with a dark gray roof and a spacious porch supported by white columns.,,,,
b5,AI,White House with Brown Roof,"A white facade house with a brown roof, featuring a large porch with white columns.",,,,
b6,AI,Modern House with Neutral Palette and Red Tile Roof,"A modern architectural style house with clean lines and a neutral color palette. The exterior is painted white, complemented by a red tile roof and large windows with red frames.",,,,
b7,AI,Classic White Brick House with Gray Roof,A classic style with a white brick exterior and a gray shingled roof. A small front porch with a green door.,,,,
b8,AI,White House with Green Roof,"The exterior is painted white with a green roof, featuring a central entrance with a double door and sidelights, flanked by symmetrical windows.",,,,
b9,AI,Traditional Stucco House with Clay Tile Roof,"A traditional-style house with a white stucco exterior, a clay tile roof,and a curved entrance.",,,,
b10,AI,Red Brick House,"A red brick exterior with a gray shingled roof. The front facade features a prominent portico with white columns and a wraparound porch, and tall windows with black frames.",,,,
b11,AI,Two-Story Red Brick House,"Atwo-story red brick house with a front porch supported by white columns. The roof is brown, and the windows are white. The house has a wrap-around porch.",,,,
b12,AI,Fluid Form Residence,"A contemporary home with a white, organic-shaped facade, a flat roof, large floor-to-ceiling windows, and a lush green lawn.",,,,
b13,AI,Tudor-Style House,A two-story Tudor house with a steeply pitched roof and prominent half-timbering. The exterior is a combination of white stucco and dark wood trim. The windows are large and rectangular. The house has a front porch with a stone stoop.,,,,
b14,AI,French Country Stone House,"A two-story stone house with a gray slate roof, and dormers. It has large and rectangular windows with black shutters. The style of the house is French Country, and it is located on a large lot with mature trees.",,,,
b15,AI,Multi-Story Brick House,"A multi-story brick house with a brown roof with white trim, and portico.",,,,
b16,AI,White Modern Minimalist House,"A modern minimalist three-story house with a white exterior and a flat roof. The house has large windows with brown frames, and balconies on upper floors.",,,,
b17,AI,Beige Facade Three-Story House,A modern and contemporary three-story house with a beige facade and a flat roof. The house features floor-to-ceiling windows with black frames on balconies.,,,,
b18,AI,White Modern Minimalist with Gray Accent House,"A two-story modern house with a white facade with gray accent wall, and a flat gray roof. The house features floor-to-ceiling windows.",,,,
b19,AI,Green Facade House,"A multi-story house with a green facade and a gray shingled roof. The houses feature white-framed windows and large front porches with wooden railings. 
",,,,
b20,AI,Angular Design House with Wooden Exterior,"A modern 3-story house with a predominantly wooden exterior. The roof is sloped and features a unique angular design. The house boasts large windows. 
",,,,
b21,AI,Modern Townhouse with Brick and Metal Cladding,"A modern townhouse with a combination of brick and metal cladding. The townhouses feature flat roofs, large windows with black frames, and private balconies.",,,,
b22,AI,Contemporary Wooden Facade House,A three-story modern design house with wooden facade and flat floor. There are large windows on each floor and a black metal balcony.,,,,
b23,AI,White Facade House with Black Roof,The house has a white facade with multiple windows and a black roof.,,,,
b24,AI,Terracotta Brick House,"A two-story terracota brick house with a modern and contemporary design. It has a flat roof and large windows, and a small porch with steps leading up to the front door.",,,,
b25,AI,Semi-Detached Brick House,"A two-story, brick semi-detached house with a tiled roof. The house features double-glazed windows with brown frames and a black front door.",,,,
b26,AI,White Classic Colonial House,"A classic colonial style with a white exterior, a gray roof, and brown door. It features a garage positioned on the right side.",,,,
b27,AI,Brown and Gray Contemporary House,"The exterior is a combination of brown and grey siding of a contemporary style. The roof is flat, with a slight overhang over the front entrance. The windows are large and rectangular with a black frame.",,,,
b28,AI,Modern White Minimalist House with Wooden Accent Wall,"A sleek, modern white minimalist house with a striking wooden accent wall running vertically along the front facade. The house is three-story with a flat roof, surrounded by a small, manicured trees.",,,,
b29,AI,Brick Orange Townhomes,"Townhomes with a vibrant brick orange facade, featuring large, old-style windows with white, decorative frames. It has a gable roof and a small balcony on each floor.",,,,
b30,AI,Modern Brown Wood House,A brown wood facade four-story house with floor-to-ceiling glass panels.,,,,
